Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest,Category
https://www.screener.in/company/HAVELLS/consolidated/,1523.2,38.26,64.45,23.48,11.47,95476.52,25.32,18.79,17.15,17.28,70.55,0.29,19.1,0.04,1470.24,61.15,MC,HAVELLS,1,MC
https://www.screener.in/company/SBICARD/,993.1,17.31,49.31,20.14,6.86,94497,10.4,14.82,6.4,-20.41,41.82,0.3,20.17,3.26,1916.41,-36.24,MC,SBICARD,1,MC
https://www.screener.in/company/CUMMINSIND/consolidated/,3384.1,23.28,46.91,72.15,12.41,93825.46,36.41,28.22,15.45,19.01,38.18,0.6,22.49,0,1999.94,60.31,MC,CUMMINSIND,1,MC
https://www.screener.in/company/SWIGGY/consolidated/,374.45,64.86,,-13.63,8.38,93361.79,-29.2,-254.76,35.38,-34.75,,,,0.17,-3116.8,90.69,MC,SWIGGY,1,MC
https://www.screener.in/company/BOSCHLTD/,31595,23.72,46.31,682.62,6.74,93184.11,21.11,15.55,8.13,9.2,40.55,0.34,13.55,0.01,2013.3,75.98,MC,BOSCHLTD,1,MC
https://www.screener.in/company/SRF/consolidated/,3123.5,0.5,74.08,42.2,7.33,92656.89,12.28,10.38,11.83,-6.1,37.08,0.14,17.01,0.37,1250.78,87.24,MC,SRF,1,MC
https://www.screener.in/company/ICICIPRULI/consolidated/,636.05,25.27,77.61,8.2,7.7,92003.86,11.83,10.34,-21.63,39.36,87.15,0.13,9.33,0.22,1185.52,-595.07,MC,ICICIPRULI,1,MC
https://www.screener.in/company/POLYCAB/consolidated/,6108.5,24.53,45.51,134.28,9.35,91924.46,31,22.43,24.22,17.62,42.12,0.49,21.01,0.02,2045.54,57.09,MC,POLYCAB,1,MC
https://www.screener.in/company/NTPCGREEN/consolidated/,108.74,42.86,193.21,0.56,4.97,91602.72,4.87,3.84,12.59,37.54,183.32,0.02,,1.05,474.12,92.05,MC,NTPCGREEN,1,MC
https://www.screener.in/company/JSWENERGY/consolidated/,522.85,53.95,46.84,11.16,3.34,91373.09,6.8,8.1,2.26,17.72,41.66,0.17,8.12,1.83,1982.88,62.54,MC,JSWENERGY,1,MC
https://www.screener.in/company/LUPIN/consolidated/,1999.6,20.2,27.83,71.88,5.31,91316.25,21.53,20.84,13.48,73.45,43.16,0.75,7.69,0.32,3306.26,54.75,MC,LUPIN,1,MC
https://www.screener.in/company/GMRAIRPORT/consolidated/,86.26,42.09,,-0.37,,91113.91,6.89,,18.96,5.01,,,,,-816.9,78.73,MC,GMRAIRPORT,1,MC
https://www.screener.in/company/BHARTIHEXA/,1819.2,6.56,67.84,29.87,15.33,90904.35,17.55,25.35,20.58,116.05,78.19,0.37,8.74,1.24,1493.6,104.65,MC,BHARTIHEXA,1,MC
https://www.screener.in/company/MARICO/consolidated/,698.65,5.95,55.63,12.57,22.77,90621.72,45.58,41.73,12.2,10.85,52.68,0.75,38.19,0.14,1658,58.07,MC,MARICO,1,MC
https://www.screener.in/company/SUZLON/consolidated/,66.71,546.39,43.66,1.53,14.79,90457.36,32.41,41.33,66.79,186.87,101.32,0.95,,0.05,2071.63,55.69,MC,SUZLON,1,MC
https://www.screener.in/company/DIXON/consolidated/,14855,28.91,115.94,181.87,29.73,89799.3,39.81,32.92,119.66,110.2,126.53,0.28,26.96,0.22,1232.58,74.41,MC,DIXON,1,MC
https://www.screener.in/company/NHPC/consolidated/,89.31,32.63,29.84,2.99,2.26,89712.21,7.39,7.67,7.76,-17.29,10.7,0.26,9.77,1,3411.73,70.3,MC,NHPC,1,MC
https://www.screener.in/company/RVNL/consolidated/,428.65,50.94,69.77,6.15,9.34,89405.6,14.71,13.99,-8.98,-18.61,9.55,0.2,17.85,0.57,1281.52,84.59,MC,RVNL,1,MC
https://www.screener.in/company/BHEL/consolidated/,255.7,52.78,166.8,1.53,3.6,89054.03,4.46,2.17,18.61,92.9,115.12,0.01,-0.64,0.36,533.9,124.12,MC,BHEL,1,MC
https://www.screener.in/company/PERSISTENT/consolidated/,5676.5,19.6,63.44,90.54,13.89,88832.59,31.39,24.83,21.56,30.83,46.18,0.39,23.09,0.05,1400.16,52.67,MC,PERSISTENT,1,MC
https://www.screener.in/company/POLICYBZR/consolidated/,1916.7,17.65,278.8,7.69,13.69,87997.86,5.9,5.13,44.78,390.25,557.89,0.02,-4.94,0.05,353.16,-36.51,MC,POLICYBZR,1,MC
https://www.screener.in/company/HINDPETRO/consolidated/,407.05,12.32,12.85,31.66,1.69,86559.05,10.51,13.74,0.06,-57.87,4.63,1.07,16.84,1.38,6735.7,76.83,MC,HINDPETRO,1,MC
https://www.screener.in/company/DABUR/consolidated/,481.25,39.64,49.09,9.97,7.9,85437.51,20.32,16.84,1.28,-3.87,55.7,0.34,20.04,0.09,1740.42,69.3,MC,DABUR,1,MC
https://www.screener.in/company/INDIANB/consolidated/,634.05,3.86,7.58,83.61,1.19,85390.69,6.38,17.09,11.48,33.71,7.11,2.25,13.49,10.89,11264.39,33.31,MC,INDIANB,1,MC
https://www.screener.in/company/HEROMOTOCO/consolidated/,4268,46.35,19.51,218.91,4.43,85379.99,31.15,23.67,8.3,16.06,21,1.21,19.29,0.04,4375.81,62.93,MC,HEROMOTOCO,1,MC
