Transaction Date,Company Name,Symbol,Exchange,Type,Quantity,Price,Tax/Charges,Brokerage,Remarks
Dec 15 2023,Sheela Foam,SFL,NSE,Buy,80,1256.02,121.42,10,Buy Trade
Dec 01 2023,SIS Ltd,SIS,NSE,Buy,170,477,98.53,10,Buy Trade
Dec 22 2023,Sona BLW Precision,SONACOMS,NSE,Buy,175,578.05,121.95,10,Buy Trade
Dec 22 2023,Sportking India,SPORTKING,NSE,Sell,97,784.89,81.06,10,Sell Trade
Dec 01 2023,Sportking India,SPORTKING,NSE,Buy,97,838.81,98.72,10,Buy Trade
Nov 17 2023,SRF Ltd.,SRF,NSE,Sell,14,2362.05,36.17,10,Sell Trade
Jul 24 2023,SRF Ltd.,SRF,NSE,Buy,14,2222,38.57,10,Buy Trade
Jul 07 2023,Star Health & Allied,STARHEALTH,NSE,Buy,50,599.5,37.9,10,Buy Trade
Feb 07 2024,Steel Authority,SAIL,NSE,Sell,330,146.65,52.19,10,Sell Trade
Jul 18 2023,Steel Authority,SAIL,NSE,Buy,330,90.9,37.06,10,Buy Trade
Oct 17 2023,Sun TV Network Ltd.,SUNTV,NSE,Buy,48,642.15,38.52,10,Buy Trade
